CodeCommune;NSCOL15P;DIPLMIN;BEPC;CAPBEP;BAC;SUP2;SUP34;SUP5
64556;298;49;14;108;57;33;21;16
64557;363;50;17;136;77;42;24;19
64558;2152;260;76;582;406;376;232;221
64559;612;162;41;220;94;49;27;20
64560;126;14;7;44;22;15;10;15
65001;233;32;14;69;52;34;25;8
65002;667;124;45;226;108;85;55;23
65003;112;7;4;29;26;20;19;7
65004;326;46;35;90;55;36;45;19
65005;310;25;6;80;68;57;47;26
65006;226;34;15;51;62;27;26;10
65007;1058;139;46;390;191;128;103;62
65009;148;25;13;18;35;21;27;7
65010;169;30;5;35;33;21;26;20
65011;114;21;6;42;19;14;8;4
65012;57;6;5;17;13;4;5;6
65013;45;7;1;20;9;2;3;3
65014;33;4;2;12;6;5;3;1
65015;85;17;7;24;15;13;4;6
65016;131;15;6;41;25;24;11;10
65017;194;18;9;51;53;36;16;10
65018;69;14;4;23;10;9;7;3
65019;445;52;32;113;92;63;48;45
65020;195;30;17;77;28;25;14;4
65021;305;37;12;84;70;46;29;28
65022;84;15;1;24;14;11;11;8
65023;12;2;1;1;2;3;3;0
65024;84;17;3;28;14;9;7;6
65025;2401;434;153;601;487;224;268;233
65026;62;9;4;12;16;9;11;3
65028;164;46;8;44;27;20;9;9
65029;400;65;17;125;78;49;45;22
65031;615;86;50;142;115;89;76;56
65032;591;153;24;165;93;83;34;39
65033;82;11;8;28;14;9;8;5
65034;18;7;1;4;4;1;2;0
65035;404;63;26;136;76;42;35;25
65036;108;23;6;37;13;8;10;10
65037;75;13;7;27;8;12;8;1
65038;11;3;0;2;3;3;0;1
65039;35;12;3;10;8;3;0;0
65040;253;22;14;74;60;31;34;18
65041;95;13;7;23;25;14;8;4
65042;430;41;30;154;85;42;54;22
65043;229;70;6;51;24;27;30;20
